Fecha,Agente,Tipo de ejercicio,Tipo de practica,Numero de practica,Sensor,Valor de Sensor,Tiempo,Musculo
4/05/2015,Alejandro,,Biceps,,Mioelectrico,131,80064,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,137,80106,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,146,80142,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,151,80171,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,154,80202,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,160,80242,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,164,80287,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,167,80327,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,173,80386,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,175,80418,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,80451,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,80506,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,80540,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,80572,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,80607,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,80639,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,80690,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,80723,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,80754,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,80773,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,80808,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,80878,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,80916,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,80945,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81011,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81030,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81070,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81107,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81132,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81172,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81214,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81248,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81286,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81323,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81349,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81403,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81430,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81468,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81500,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81531,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81574,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81618,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81651,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81709,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81738,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,177,81765,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81807,
4/05/2015,Alejandro,,Biceps,,Mioelectrico,176,81858,
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19122,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19171,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19205,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19240,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19289,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19332,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19359,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19390,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19431,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19465,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19492,Biceps
6/4/2015,Alejandro,Practica,,,Mioelectrico,84,19524,Biceps
